name_2,population,pm_2018,life_exp_pred_city
Aketi,225601,31.6,65.2335122595549
Aketi (ville),65256,32.689999,64.98230947394738
Ango,144193,22.15,68.18569302267397
Bambesa,250196,27.360001,66.80589104187166
Bondo,347981,28.129999,66.44830426028194
Bondo (ville),7529,29.32,65.94332758948718
Buta,99330,29.969999,65.70425672631424
Buta (ville),152677,31.360001,65.30016255770055
Dingila,29754,25.700001,67.18244141670533
Poko,326078,25.959999,67.15408869424903
Basankusu,184807,35.450001,64.62057151042137
Basankusu (ville),60635,36.509998,64.54970186400304
Bikoro,331256,38.16,64.51262236871256
Bolomba,318675,37.48,64.5181074639826
Bomongo,157517,40.279999,64.69296054215926
Ingende,275046,37.369999,64.52197363397039
Lukolela,162280,40.099998,64.66933488012174
Makanza,72449,38.959999,64.53140880788487
Mbandaka,378693,40.720001,64.74526410602417
Kambove,327359,22.860001,67.98361816511589
Kasenga,257955,24.16,67.61220700037151
Kipushi,110474,23.07,67.92290185133373
Kipushi (ville),86243,23.299999,67.85714907747698
Likasi,489224,22.24,68.1612035101499
Lubumbashi,1372416,23.120001,67.91303962154817
Mitwaba,193919,24.360001,67.5548798649014
Pweto,324842,22.99,67.94649277691177
Sakania,213523,22.629999,68.04888889164192
Bukama,511094,28.4,66.31632103037427
Kabongo,423188,28.780001,66.14900344317424
Kamina,245265,28.34,66.35214118337744
Kamina (ville),169419,27.93,66.55687518127654
Kaniama,197209,29.870001,65.73378781269487
Malemba-Nkulu,598702,28.700001,66.17895072281604
Aba,49974,18.59,69.19970594717455
Dungu,255519,20.58,68.63363448412113
Dungu (ville),104911,20.889999,68.54480566550464
Faradje,430833,19.969999,68.8079986185594
Isiro,267720,25.5,67.22965187656814
Niangara,183432,22.32,68.13729281950297
Rungu,385138,26.190001,67.10817810249215
Wamba,587916,27.07,66.89745950129937
Wamba (ville),92681,26.530001,67.04016991478692
Watsa,290732,23.379999,67.83502314837094
Watsa (ville),54997,22.1,68.1996567695951
Ariwara,83027,17.719999,69.4476202417328
Aru,932270,18.969999,69.0945994068751
Aru (ville),102397,18.49,69.22837410240525
Bunia,364900,25.5,67.22999177385324
Djugu,1747149,26.27,67.09486503813051
Ingbokolo,45677,17.6,69.48166649359422
Irumu,564373,28.870001,66.10393034546249
Mahagi,1047562,20.809999,68.57093174607128
Mahagi (ville),131673,19.27,69.00631510838312
Mambasa,264874,29.639999,65.81021587244042
Mongwalu,2266,29.200001,65.9899549708716
Dekese,185664,38.200001,64.51670776520768
Ilebo,504149,39.709999,64.61038805990763
Ilebo (ville),59513,41.299999,64.83106675808469
Kamonia,1543597,35.77,64.56053983686918
Luebo,298291,36.639999,64.54009479660682
Luebo (ville),18715,37.299999,64.52994084681534
Mweka,750685,37.279999,64.51281707635832
Tshikapa,192862,33.759998,64.75952309912975
Demba,623587,35.959999,64.57267899876435
Dibaya,552012,34.720001,64.66158331176568
Dimbelenge,447918,34.580002,64.67427766510518
Kananga,960530,34.549999,64.66219612119235
Kazumba,863416,35.189999,64.62001948270272
Luiza,760978,33.27,64.83926829172091
Tshimbulu,55610,33.900002,64.74074691418444
Kabeya-Kamwanga,170458,33.610001,64.78486647001058
Katanda,310956,32.5,65.01679137616782
Lukalaba,76390,29.299999,65.94858519571127
Lupatapata,387551,30.6,65.49747632236941
Mbuji-Mayi,1531078,30.190001,65.58457895504918
Miabi,252738,32.330002,65.05490936750911
Miabi (ville),9847,31.1,65.37425132087198
Tshilenge,652449,30.23,65.60064955326169
Tshilenge (ville),136621,30.1,65.66040020082305
