name_1,population,pm_2018,life_exp_pred_region
Bas-Uélé,225601,31.6,65.2335122595549
Bas-Uélé,65256,32.689999,64.98230947394738
Bas-Uélé,144193,22.15,68.18569302267397
Bas-Uélé,250196,27.360001,66.80589104187166
Bas-Uélé,347981,28.129999,66.44830426028194
Bas-Uélé,7529,29.32,65.94332758948718
Bas-Uélé,99330,29.969999,65.70425672631424
Bas-Uélé,152677,31.360001,65.30016255770055
Bas-Uélé,29754,25.700001,67.18244141670533
Bas-Uélé,326078,25.959999,67.15408869424903
Équateur,184807,35.450001,64.62057151042137
Équateur,60635,36.509998,64.54970186400304
Équateur,331256,38.16,64.51262236871256
Équateur,318675,37.48,64.5181074639826
Équateur,157517,40.279999,64.69296054215926
Équateur,275046,37.369999,64.52197363397039
Équateur,162280,40.099998,64.66933488012174
Équateur,72449,38.959999,64.53140880788487
Équateur,378693,40.720001,64.74526410602417
Haut-Katanga,327359,22.860001,67.98361816511589
Haut-Katanga,257955,24.16,67.61220700037151
Haut-Katanga,110474,23.07,67.92290185133373
Haut-Katanga,86243,23.299999,67.85714907747698
Haut-Katanga,489224,22.24,68.1612035101499
Haut-Katanga,1372416,23.120001,67.91303962154817
Haut-Katanga,193919,24.360001,67.5548798649014
Haut-Katanga,324842,22.99,67.94649277691177
Haut-Katanga,213523,22.629999,68.04888889164192
Haut-Lomami,511094,28.4,66.31632103037427
Haut-Lomami,423188,28.780001,66.14900344317424
Haut-Lomami,245265,28.34,66.35214118337744
Haut-Lomami,169419,27.93,66.55687518127654
Haut-Lomami,197209,29.870001,65.73378781269487
Haut-Lomami,598702,28.700001,66.17895072281604
Haut-Uélé,49974,18.59,69.19970594717455
Haut-Uélé,255519,20.58,68.63363448412113
Haut-Uélé,104911,20.889999,68.54480566550464
Haut-Uélé,430833,19.969999,68.8079986185594
Haut-Uélé,267720,25.5,67.22965187656814
Haut-Uélé,183432,22.32,68.13729281950297
Haut-Uélé,385138,26.190001,67.10817810249215
Haut-Uélé,587916,27.07,66.89745950129937
Haut-Uélé,92681,26.530001,67.04016991478692
Haut-Uélé,290732,23.379999,67.83502314837094
Haut-Uélé,54997,22.1,68.1996567695951
Ituri,83027,17.719999,69.4476202417328
Ituri,932270,18.969999,69.0945994068751
Ituri,102397,18.49,69.22837410240525
Ituri,364900,25.5,67.22999177385324
Ituri,1747149,26.27,67.09486503813051
Ituri,45677,17.6,69.48166649359422
Ituri,564373,28.870001,66.10393034546249
Ituri,1047562,20.809999,68.57093174607128
Ituri,131673,19.27,69.00631510838312
Ituri,264874,29.639999,65.81021587244042
Ituri,2266,29.200001,65.9899549708716
Kasaï,185664,38.200001,64.51670776520768
Kasaï,504149,39.709999,64.61038805990763
Kasaï,59513,41.299999,64.83106675808469
Kasaï,1543597,35.77,64.56053983686918
Kasaï,298291,36.639999,64.54009479660682
Kasaï,18715,37.299999,64.52994084681534
Kasaï,750685,37.279999,64.51281707635832
Kasaï,192862,33.759998,64.75952309912975
Kasaï-Central,623587,35.959999,64.57267899876435
Kasaï-Central,552012,34.720001,64.66158331176568
Kasaï-Central,447918,34.580002,64.67427766510518
Kasaï-Central,960530,34.549999,64.66219612119235
Kasaï-Central,863416,35.189999,64.62001948270272
Kasaï-Central,760978,33.27,64.83926829172091
Kasaï-Central,55610,33.900002,64.74074691418444
Kasaï-Oriental,170458,33.610001,64.78486647001058
Kasaï-Oriental,310956,32.5,65.01679137616782
Kasaï-Oriental,76390,29.299999,65.94858519571127
Kasaï-Oriental,387551,30.6,65.49747632236941
Kasaï-Oriental,1531078,30.190001,65.58457895504918
Kasaï-Oriental,252738,32.330002,65.05490936750911
Kasaï-Oriental,9847,31.1,65.37425132087198
Kasaï-Oriental,652449,30.23,65.60064955326169
Kasaï-Oriental,136621,30.1,65.66040020082305
Kinshasa,11200671,37.939999,64.24724542608477
Kongo-Central,36375,29.1,66.02742408470603
Kongo-Central,253954,22.780001,68.00620257431783
Kongo-Central,153724,29.129999,66.01158450667766
Kongo-Central,210828,34.610001,64.67873537810775
Kongo-Central,80723,34.59,64.68373764855355
Kongo-Central,193774,32.470001,65.02631161795524
Kongo-Central,536054,21.02,68.50930595746388
Kongo-Central,2559,21.799999,68.28512796363373
Kongo-Central,567880,27.790001,66.6144256900253
Kongo-Central,491750,30.92,65.40840329059972
Kongo-Central,365101,23.5,67.80102124988585
Kongo-Central,1074446,30.360001,65.54401514384014
Kongo-Central,338530,31.9,65.14955645932196
Kongo-Central,369999,18.209999,69.30907332311679
Kongo-Central,4439,17.809999,69.42170761439718
Kongo-Central,517839,22.389999,68.11847672166449
Kongo-Central,652625,26.860001,66.96492073846821
Kongo-Central,778748,21.459999,68.38484363103467
Kongo-Central,5996,20.9,68.54160664829138
Kwango,398710,34.040001,64.71492281572293
Kwango,289573,31.24,65.32837198982249
Kwango,1175,30.67,65.49006695776811
Kwango,869748,32.34,65.03663360677702
Kwango,40235,35.099998,64.6491072088154
Kwango,814122,37.75,64.4992610135905
Kwango,45898,37.540001,64.52314409877464
Kwango,326600,34.93,64.65309989648256
Kwilu,650072,42.419998,65.02211090245143
Kwilu,200921,45.599998,65.9088853106012
Kwilu,1165942,41.369999,64.81551480098626
Kwilu,62880,42.849998,65.12537169133205
Kwilu,29616,42.400002,65.03447965739778
Kwilu,914970,34.799999,64.6459318627648
Kwilu,293,32.900002,64.9387982339374
Kwilu,1496335,39.869999,64.60807216228568
Kwilu,12493,35.669998,64.60991793429781
Kwilu,1041443,40.279999,64.67227654319483
Kwilu,7087,43.0,65.16212270971192
