name_1,population,pm_2018,life_exp_pred_region
Bas-Uélé,225601,25.28,67.40817621794031
Bas-Uélé,65256,26.151999200000002,66.8909718787581
Bas-Uélé,144193,17.72,69.5987625155467
Bas-Uélé,250196,21.8880008,68.44086945990354
Bas-Uélé,347981,22.503999200000003,68.26868199593152
Bas-Uélé,7529,23.456000000000003,67.99503829422737
Bas-Uélé,99330,23.975999200000004,67.83076446361741
Bas-Uélé,152677,25.088000800000003,67.4800327972545
Bas-Uélé,29754,20.5600008,68.8120928559552
Bas-Uélé,326078,20.767999200000002,68.75359399534094
Équateur,184807,28.3600008,65.83902721234503
Équateur,60635,29.207998400000005,65.52498439471451
Équateur,331256,30.528,65.14968083571068
Équateur,318675,29.983999999999998,65.27915046900438
Équateur,157517,32.2239992,64.81039161550049
Équateur,275046,29.895999200000002,65.30392375989382
Équateur,162280,32.0799984,64.83420191804515
Équateur,72449,31.167999200000004,65.01908169783572
Équateur,378693,32.5760008,64.75999072223843
Haut-Katanga,327359,18.288000800000002,69.44170345867093
Haut-Katanga,257955,19.328000000000003,69.15460276835081
Haut-Katanga,110474,18.456,69.39556546937897
Haut-Katanga,86243,18.639999200000002,69.34478483870654
Haut-Katanga,489224,17.791999999999998,69.5784787064982
Haut-Katanga,1372416,18.4960008,69.38304951308223
Haut-Katanga,193919,19.488000800000002,69.11049534417057
Haut-Katanga,324842,18.392,69.41298843477497
Haut-Katanga,213523,18.1039992,69.49264561326886
Haut-Lomami,511094,22.72,68.20812907032054
Haut-Lomami,423188,23.0240008,68.12333809404319
Haut-Lomami,245265,22.672,68.2218973172825
Haut-Lomami,169419,22.344,68.313614113769
Haut-Lomami,197209,23.8960008,67.85559610759888
Haut-Lomami,598702,22.960000800000003,68.14097534452543
Haut-Uélé,49974,14.872,70.38530853091719
Haut-Uélé,255519,16.464,69.94546002891968
Haut-Uélé,104911,16.7119992,69.8771539149599
Haut-Uélé,430833,15.975999200000002,70.08001051681632
Haut-Uélé,267720,20.400000000000002,68.85645919686519
Haut-Uélé,183432,17.856,69.56116225876532
Haut-Uélé,385138,20.9520008,68.70212021603865
Haut-Uélé,587916,21.656000000000002,68.5052105189486
Haut-Uélé,92681,21.2240008,68.62654544890023
Haut-Uélé,290732,18.703999200000002,69.32687386503233
Haut-Uélé,54997,17.680000000000003,69.6099118902045
Ituri,83027,14.175999200000001,70.5774611211206
Ituri,932270,15.175999200000001,70.30033535151235
Ituri,102397,14.792,70.40733835878531
Ituri,364900,20.400000000000002,68.85632709138567
Ituri,1747149,21.016000000000002,68.6823930935383
Ituri,45677,14.080000000000002,70.60401350330133
Ituri,564373,23.0960008,68.10303584594175
Ituri,1047562,16.6479992,69.89372836133182
Ituri,131673,15.416,70.2349951853607
Ituri,264874,23.7119992,67.91333022774737
Ituri,2266,23.3600008,68.0253195789139
Kasaï,185664,30.5600008,65.1469332286128
Kasaï,504149,31.767999200000006,64.87741643699036
Kasaï,59513,33.039999200000004,64.71334913417708
Kasaï,1543597,28.616000000000003,65.70165804530119
Kasaï,298291,29.311999200000002,65.47876041063978
Kasaï,18715,29.8399992,65.32665870223597
Kasaï,750685,29.8239992,65.30859923649076
Kasaï,192862,27.007998400000005,66.44060243494857
Kasaï-Central,623587,28.767999200000006,65.67273441945672
Kasaï-Central,552012,27.776000800000006,66.08014228439825
Kasaï-Central,447918,27.664001600000002,66.13190604205263
Kasaï-Central,960530,27.639999200000002,66.12776063041909
Kasaï-Central,863416,28.151999200000002,65.90744757848393
Kasaï-Central,760978,26.616000000000003,66.61824672679819
Kasaï-Central,55610,27.120001600000002,66.38910410621688
Kasaï-Oriental,170458,26.8880008,66.50078573273731
Kasaï-Oriental,310956,26.0,66.97505297690626
Kasaï-Oriental,76390,23.439999200000003,67.99981101297166
Kasaï-Oriental,387551,24.480000000000004,67.67076058370579
Kasaï-Oriental,1531078,24.1520008,67.76965110274269
Kasaï-Oriental,252738,25.8640016,67.06490803940682
Kasaï-Oriental,9847,24.880000000000003,67.54616027943503
Kasaï-Oriental,652449,24.184,67.76302227916793
Kasaï-Oriental,136621,24.080000000000002,67.79783489226655
Kinshasa,11200671,30.3519992,64.87768643311217
Kongo-Central,36375,23.28,68.05040294779117
Kongo-Central,253954,18.2240008,69.45946170700658
Kongo-Central,153724,23.303999200000003,68.04237616409183
Kongo-Central,210828,27.688000799999998,66.12820376386783
Kongo-Central,80723,27.672000000000004,66.1388817887227
Kongo-Central,193774,25.976000800000005,66.99313183207053
Kongo-Central,536054,16.816,69.84793319406347
Kongo-Central,2559,17.4399992,69.67624592333607
Kongo-Central,567880,22.2320008,68.34435495076313
Kongo-Central,491750,24.736000000000004,67.5896549748341
Kongo-Central,365101,18.8,69.30027791037443
Kongo-Central,1074446,24.288000800000002,67.72857868806247
Kongo-Central,338530,25.52,67.28779612030453
Kongo-Central,369999,14.567999200000001,70.46888133371984
Kongo-Central,4439,14.247999200000002,70.55767086853362
Kongo-Central,517839,17.9119992,69.5453092297279
Kongo-Central,652625,21.488000800000002,68.55204641702139
Kongo-Central,778748,17.1679992,69.7504506684836
Kongo-Central,5996,16.72,69.87505984887676
Kwango,398710,27.232000799999998,66.32340804924524
Kwango,289573,24.992,67.50975511611011
Kwango,1175,24.536,67.65462902833778
Kwango,869748,25.872000000000003,67.04300198650071
Kwango,40235,28.0799984,65.96226932161272
Kwango,814122,30.200000000000003,65.20662632919598
Kwango,45898,30.0320008,65.27468184525748
Kwango,326600,27.944000000000003,66.01336617395972
Kwilu,650072,33.9359984,64.59390741920353
Kwilu,200921,36.4799984,64.40738018850719
Kwilu,1165942,33.0959992,64.67985296812992
Kwilu,62880,34.279998400000004,64.56786042565804
Kwilu,29616,33.9200016,64.61088455655432
Kwilu,914970,27.8399992,66.04191806142457
Kwilu,293,26.3200016,66.79727116175371
Kwilu,1496335,31.895999200000002,64.83020929409888
Kwilu,12493,28.5359984,65.778316400255
Kwilu,1041443,32.2239992,64.78748315468522
Kwilu,7087,34.4,64.55514655443318
Kwilu,1328419,32.327999999999996,64.76595678016096
Kwilu,35080,32.823999199999996,64.73927274526972
Lomami,570641,24.175999200000003,67.76586622405101
Lomami,47470,24.328000000000003,67.72001195233945
Lomami,63601,27.439999200000003,66.24045287164441
Lomami,474252,22.864,68.16795850758471
Lomami,7074,23.52,67.97486620209322
Lomami,693591,25.200000000000003,67.44097828188083
Lomami,206788,25.575999200000002,67.26199795997198
Lomami,799925,24.72,67.59348561537783
Lomami,124228,23.6,67.94918778619964
Lualaba,380307,20.328000000000003,68.87641646995377
Lualaba,195311,24.064,67.80264738705347
Lualaba,6777,20.960000800000003,68.70040007574191
Lualaba,275277,17.8960008,69.55000957686127
Lualaba,247036,19.247999200000002,69.17670661658786
Lualaba,476865,18.5520008,69.36862928129196
Lualaba,284663,22.088000800000003,68.38496059836899
Maï-Ndombe,92853,30.3600008,65.19269819129606
Maï-Ndombe,73756,31.120001600000002,65.02939234648761
Maï-Ndombe,451440,32.1920016,64.80809227732378
Maï-Ndombe,41869,29.367999200000003,65.46558842708528
Maï-Ndombe,289239,31.584,64.92321337344569
Maï-Ndombe,701799,34.6799984,64.50540432267417
Maï-Ndombe,127443,31.376000800000003,64.97266999400301
Maï-Ndombe,191157,33.60799840000001,64.64353942147747
Maï-Ndombe,65912,35.3519992,64.47302719287974
Maï-Ndombe,293296,33.9920016,64.59602386344781
Maï-Ndombe,128269,32.128,64.82710523530719
Maniema,337031,26.151999200000002,66.88375061374732
Maniema,174975,28.2480008,65.88523178932586
Maniema,2094,26.7519992,66.57322203996038
Maniema,769144,28.016000000000005,65.96938838466454
Maniema,78322,27.9920016,65.99952471623695
Maniema,192885,28.2799984,65.87078013654858
Maniema,361815,29.511999200000005,65.40794543211229
Maniema,179602,26.407998400000004,66.74252383552387
Maniema,15324,26.8799984,66.50934099484647
Maniema,797,27.0959992,66.40263006728416
Maniema,598065,27.528,66.18688487362176
Maniema,190961,26.567999200000003,66.65890630893631
Maniema,16769,27.7600008,66.10236155163628
Mongala,485099,27.967999200000005,65.99839433720383
Mongala,802816,26.232000799999998,66.82593274946554
Mongala,352967,25.967999200000005,66.99439050415364
Mongala,509400,27.056,66.40743556287882
Mongala,172494,26.784,66.55231185193418
Nord-Kivu,404332,25.072000000000003,67.48408612579686
Nord-Kivu,1133796,24.072000000000003,67.79643222131958
Nord-Kivu,326718,27.056,66.41283583568881
Nord-Kivu,1215922,22.9119992,68.15354363077299
Nord-Kivu,1631956,25.503999200000003,67.2769761359433
Nord-Kivu,78714,26.576000800000003,66.65825550832368
Nord-Kivu,1282593,24.872,67.54367309216185
Nord-Kivu,112985,24.92,67.53314570059648
Nord-Kivu,1505708,25.144000000000002,67.45692087782939
Nord-Kivu,136138,25.8480008,67.07931557323717
Nord-Kivu,479863,23.936000000000003,67.8418752913801
Nord-Ubangi,376011,25.2399992,67.42578846392504
Nord-Ubangi,558778,25.711999200000005,67.16340031616933
Nord-Ubangi,79094,25.480000000000004,67.31134502851427
Nord-Ubangi,99824,25.192,67.44745849413991
Nord-Ubangi,6514,24.5119992,67.66217347479697
Nord-Ubangi,483491,24.2399992,67.74603532218327
Sankuru,298,28.3200016,65.85964338257543
Sankuru,491177,27.439999200000003,66.22827206586973
Sankuru,288645,28.6,65.74591054315056
Sankuru,853288,28.4959992,65.76767739258912
Sankuru,4957,29.2640016,65.50569176876067
Sankuru,277648,27.944000000000003,66.01476072090409
Sankuru,337972,25.720001600000003,67.16377141098327
Sankuru,159786,28.464001600000003,65.80081062545617
Sankuru,41241,28.960000800000003,65.61852467527505
Sankuru,47,28.8320008,65.66775460722465
Sud-Kivu,12376,25.52,67.29252081013352
Sud-Kivu,538258,24.272000000000002,67.73573259175966
Sud-Kivu,698768,24.1679992,67.76788371249764
Sud-Kivu,298764,23.3679992,68.02163147287112
Sud-Kivu,1059790,23.536,67.96567974215019
Sud-Kivu,713556,23.2240008,68.0653897808845
Sud-Kivu,149469,23.336000000000002,68.03230571617475
Sud-Kivu,522516,23.52,67.97283766765307
Sud-Kivu,498812,25.408,67.34088822404257
Sud-Kivu,35101,25.927999999999997,67.02747039477904
Sud-Kivu,866619,25.416,67.33160200591402
Sud-Kivu,136710,26.0640016,66.93905669893905
Sud-Kivu,1150895,23.136000000000003,68.09106635600295
Sud-Ubangi,776047,28.111999200000003,65.92736464767869
Sud-Ubangi,1019888,27.344,66.25503720530992
Sud-Ubangi,344367,26.016000000000005,66.96407553143028
Sud-Ubangi,691619,28.784,65.66466347197962
Sud-Ubangi,274218,28.200000000000003,65.90331861477722
Sud-Ubangi,121185,26.935998400000003,66.47843460415291
Tanganyika,231428,22.8960008,68.1593504553598
Tanganyika,208767,20.528000000000002,68.82078765218871
Tanganyika,222342,19.6320008,69.07069859849346
Tanganyika,26867,16.48,69.94130824913556
Tanganyika,313325,24.567999200000003,67.6433138652483
Tanganyika,121659,24.608000000000004,67.63145924249844
Tanganyika,211993,22.016000000000002,68.40516993134128
Tanganyika,225454,21.872,68.4453722779649
Tanganyika,495937,16.791999999999998,69.85460720588347
Tanganyika,188593,22.592,68.24431915959039
Tshopo,194573,24.9679992,67.51769444912725
Tshopo,286302,26.8480008,66.5172019958924
Tshopo,333046,26.856,66.51185244388866
Tshopo,44839,27.2959992,66.30372851323284
Tshopo,692179,28.056,65.95415287041244
Tshopo,2675,28.639999200000002,65.73963636792014
Tshopo,970144,28.4799984,65.7701122483989
Tshopo,360292,27.5519992,66.183202052774
Tshopo,331069,28.416000000000004,65.81358018389633
Tshopo,188185,26.5920016,66.64708273951601
Tshopo,6212,27.8239992,66.07477804205371
Tshuapa,218907,28.1040008,65.94672140120909
Tshuapa,477206,29.223999199999998,65.50628864869103
Tshuapa,6509,29.920001600000003,65.30571884332004
Tshuapa,429370,28.0480008,65.9651250567367
Tshuapa,358619,26.856,66.51109647900667
Tshuapa,419136,27.8480008,66.05255708790261
Tshuapa,162718,29.200000000000003,65.52487030206018
