name_1,population,pm_2018,life_exp_pred_region
Bas-Uélé,225601,37.92,64.47317286819214
Bas-Uélé,65256,39.2279988,64.73481686567837
Bas-Uélé,144193,26.58,66.65433620334926
Bas-Uélé,250196,32.8320012,64.73309868795108
Bas-Uélé,347981,33.7559988,64.62236741958534
Bas-Uélé,7529,35.184,64.48673189861616
Bas-Uélé,99330,35.9639988,64.42783426072442
Bas-Uélé,152677,37.6320012,64.42983454818037
Bas-Uélé,29754,30.8400012,65.09101300960162
Bas-Uélé,326078,31.151998799999998,65.01529909052167
Équateur,184807,42.5400012,65.64303818326442
Équateur,60635,43.811997600000005,66.04929487352783
Équateur,331256,45.791999999999994,66.71587415723337
Équateur,318675,44.97599999999999,66.43154900675569
Équateur,157517,48.33599879999999,67.66555287412328
Équateur,275046,44.8439988,66.38864163380032
Équateur,162280,48.1199976,67.5821332280712
Équateur,72449,46.7519988,67.06998164720108
Équateur,378693,48.864001200000004,67.86180263410893
Haut-Katanga,327359,27.4320012,66.23642366895376
Haut-Katanga,257955,28.991999999999997,65.59992516012227
Haut-Katanga,110474,27.684,66.13280581172658
Haut-Katanga,86243,27.959998799999997,66.01324275988911
Haut-Katanga,489224,26.688,66.59056674057527
Haut-Katanga,1372416,27.744001199999996,66.07071287878972
Haut-Katanga,193919,29.2320012,65.51192518136278
Haut-Katanga,324842,27.587999999999997,66.16852631832101
Haut-Katanga,213523,27.155998800000003,66.36658075935027
Haut-Lomami,511094,34.08,64.58040386372937
Haut-Lomami,423188,34.536001199999994,64.52907107200126
Haut-Lomami,245265,34.007999999999996,64.59531686140423
Haut-Lomami,169419,33.516,64.65485656598875
Haut-Lomami,197209,35.844001199999994,64.43393904518516
Haut-Lomami,598702,34.4400012,64.53605653680734
Haut-Uélé,49974,22.308,68.32383164739926
Haut-Uélé,255519,24.695999999999998,67.60319334438867
Haut-Uélé,104911,25.067998799999998,67.48652575030926
Haut-Uélé,430833,23.963998800000002,67.83324255466565
Haut-Uélé,267720,30.599999999999998,65.13596989763639
Haut-Uélé,183432,26.784,66.55198851310499
Haut-Uélé,385138,31.428001199999997,64.95411099043406
