country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Aruba,ABW,5,0,118013,2.5,3.6099999,2.4000001,2.48,2.22,3.0899999,2.99,3.48,2.79,2.99,3.3900001,2.4200001,4.8200002,3.27,2.98,2.5899999,2.1600001,2.26,2.99,2.99,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Afghanistan,AFG,5,10,30278457,10.56,10.34,11.6,13.72,13.31,13.61,12.31,13.78,14.18,13.53,14.45,14.76,14.78,18.01,16.07,14.64,15.17,15.72,15.77,14.91,13.71,0.54000002,0.51999998,0.64999998,0.85000002,0.81,0.83999997,0.72000003,0.86000001,0.89999998,0.83999997,0.93000001,0.95999998,0.95999998,1.28,1.09,0.94,1,1.05,1.0599999,0.97000003,0.85000002,0.16,0.13,0.18000001,0.37,0.33000001,0.36000001,0.23999999,0.37,0.41,0.34999999,0.44,0.47,0.47,0.79000002,0.60000002,0.46000001,0.50999999,0.56,0.56999999,0.47999999,0.37
Angola,AGO,5,0,31245992,18.09,15.73,17.26,21.620001,19.4,18.200001,18.780001,20.940001,17.219999,20.82,22.209999,19.860001,23.549999,21.4,21.450001,21.4,18.700001,20.01,20.120001,18.09,18.790001,1.28,1.05,1.2,1.63,1.41,1.29,1.35,1.5599999,1.2,1.55,1.6900001,1.46,1.8200001,1.61,1.61,1.61,1.34,1.47,1.48,1.28,1.35,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Anguilla,AIA,5,0,17756,2.0699999,2.6700001,2.27,2.48,1.78,1.9400001,1.78,2.51,2.28,1.98,1.78,1.78,3,1.87,2.3,1.58,1.58,1.85,1.97,1.87,1.5599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Åland,ALA,5,0,29715,6.3899999,6.7399998,5.4899998,5.02,5.5,5.48,5.5799999,5.9400001,6.71,5.1999998,5.5300002,5.1399999,5.6999998,4.7399998,4.3499999,4.4000001,5.6399999,3.77,3.6700001,3.1300001,4.1799998,0.14,0.17,0.050000001,0.0099999998,0.050000001,0.050000001,0.059999999,0.090000004,0.17,0.02,0.050000001,0.02,0.07,0,0,0,0.059999999,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Albania,ALB,5,15,3063723,16.23,14.91,16.809999,15.93,17.299999,19.530001,15.25,16.780001,18.66,17.43,14.86,14.05,11.5,19.620001,16.25,13.56,12.35,15.5,13.04,14.23,13.68,1.1,0.97000003,1.16,1.0700001,1.21,1.42,1,1.15,1.34,1.22,0.97000003,0.88999999,0.63999999,1.4299999,1.1,0.83999997,0.72000003,1.03,0.79000002,0.89999998,0.85000002,0.14,0.07,0.2,0.14,0.27000001,0.44999999,0.1,0.2,0.38,0.25999999,0.079999998,0.039999999,0.0099999998,0.46000001,0.18000001,0.039999999,0.0099999998,0.11,0.029999999,0.039999999,0.039999999
Andorra,AND,5,25,85671,8.5799999,8.1800003,8.6700001,9.25,9.4200001,10.06,9.2700005,9.7200003,8.9700003,8.8699999,7.8600001,8.1199999,8.8000002,8.5799999,7.3699999,6.9099998,6.1199999,6.9299998,6.4200001,6.29,6.5300002,0.34999999,0.31,0.36000001,0.41999999,0.43000001,0.5,0.41999999,0.46000001,0.38999999,0.38,0.28,0.31,0.37,0.34999999,0.23,0.19,0.11,0.19,0.14,0.13,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,5,0,9818483,14.92,13.69,17.379999,15.23,16.48,13.65,13.01,14.24,18.15,15.87,18.42,19.08,18.540001,18.18,21.030001,18.860001,18.6,17.4,18.68,18.08,18.139999,0.97000003,0.85000002,1.21,1,1.13,0.85000002,0.77999997,0.91000003,1.29,1.0700001,1.3099999,1.38,1.33,1.29,1.5700001,1.36,1.33,1.22,1.34,1.28,1.29,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Argentina,ARG,5,15,45220840,10.51,11.56,11.18,10.98,11.34,11.36,10.9,10.14,11.2,11.6,11.54,10.04,9.4300003,10.27,10.26,10.27,10.46,10.14,10.26,9.9300003,9.7600002,0.54000002,0.64999998,0.61000001,0.58999997,0.62,0.63,0.57999998,0.50999999,0.61000001,0.64999998,0.63999999,0.5,0.44,0.51999998,0.51999998,0.51999998,0.54000002,0.50999999,0.51999998,0.49000001,0.47,0.029999999,0.079999998,0.039999999,0.02,0.050000001,0.050000001,0.039999999,0.02,0.050000001,0.090000004,0.050000001,0.029999999,0.02,0.029999999,0.02,0.029999999,0.02,0.02,0.02,0.0099999998,0.0099999998
Armenia,ARM,5,0,3038195,16.530001,16.129999,17.73,15.32,17.379999,15.93,15.63,16.860001,15.74,16.969999,16.940001,16.540001,15.92,19.16,19.59,18.450001,18.18,18.66,16.74,19.49,18.129999,1.13,1.09,1.25,1.01,1.21,1.0700001,1.04,1.16,1.05,1.17,1.17,1.13,1.0700001,1.39,1.4299999,1.3200001,1.29,1.34,1.15,1.42,1.29,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
American Samoa,ASM,5,0,46136,0.5,0.58999997,0.73000002,0.69999999,0.80000001,0.80000001,0.60000002,1,0.80000001,0.80000001,0.69,0.80000001,0.69,0.60000002,0.73000002,0.69999999,0.80000001,0.99000001,0.81999999,0.89999998,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
French Southern Territories,ATF,5,0,35392,9.6999998,8.9200001,8.4899998,11.62,8.6800003,10.14,8.8800001,10,10.25,11.95,9.3699999,9.8699999,10.11,8.79,9.8100004,9.71,8.1700001,9.0900002,9.21,8.21,9.25,0.46000001,0.38,0.34,0.64999998,0.36000001,0.5,0.38,0.49000001,0.50999999,0.68000001,0.43000001,0.47999999,0.5,0.37,0.47,0.46000001,0.31,0.40000001,0.41,0.31,0.41999999,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
