year,life_exp,population,pm
1998,45.057,15366864.0,18.09
1999,45.386,15870753.0,15.73
2000,46.024,16394062.0,17.26
2001,46.59,16941587.0,21.620001
2002,47.386,17516139.0,19.4
2003,49.617,18124342.0,18.200001
2004,50.592,18771125.0,18.780001
2005,51.57,19450959.0,20.940001
2006,52.369,20162340.0,17.219999
2007,53.642,20909684.0,20.82
2008,54.633,21691522.0,22.209999
2009,55.752,22507674.0,19.860001
2010,56.726,23364185.0,23.549999
2011,57.596,24259111.0,21.4
2012,58.623,25188292.0,21.450001
2013,59.307,26147002.0,21.4
2014,60.04,27128337.0,18.700001
2015,60.655,28127721.0,20.01
2016,61.092,29154746.0,20.120001
2017,61.68,30208628.0,18.09
2018,62.144,31273533.0,18.790001
