,year,life_exp,population,pm
147,1998,74.041,72572.0,2.1900001
148,1999,74.347,73821.0,2.5899999
149,2000,74.606,75055.0,2.49
150,2001,75.078,76215.0,2.46
151,2002,75.536,77195.0,1.97
152,2003,75.478,78075.0,2.1700001
153,2004,75.672,78941.0,2.0699999
154,2005,75.825,79869.0,2.5599999
155,2006,75.765,80895.0,2.3399999
156,2007,76.131,82016.0,2.0599999
157,2008,76.41,83251.0,2.0599999
158,2009,76.669,84534.0,2.1600001
159,2010,76.82,85695.0,2.97
160,2011,77.104,86729.0,2.1400001
161,2012,77.35,87674.0,2.26
162,2013,77.583,88497.0,1.6900001
163,2014,77.858,89236.0,1.79
164,2015,77.913,89941.0,1.99
165,2016,78.152,90564.0,2.1800001
166,2017,78.268,91119.0,1.88
167,2018,78.511,91626.0,1.87
