,country,year,life_exp,population,pm
168,AUS,1998,78.6317073170732,18607584.0,3.3299999
169,AUS,1999,78.9317073170732,18812264.0,3.3900001
170,AUS,2000,79.2341463414634,19028802.0,3.1800001
171,AUS,2001,79.6341463414634,19274701.0,3.75
172,AUS,2002,79.9365853658537,19495210.0,4.0100002
173,AUS,2003,80.2390243902439,19720737.0,4.9000001
174,AUS,2004,80.490243902439,19932722.0,3.3099999
175,AUS,2005,80.8414634146341,20176844.0,3.04
176,AUS,2006,81.0414634146342,20450966.0,4.25
177,AUS,2007,81.2926829268293,20827622.0,3.48
178,AUS,2008,81.3951219512195,21249199.0,2.9400001
179,AUS,2009,81.5439024390244,21691653.0,4.1100001
180,AUS,2010,81.6951219512195,22031750.0,3.1199999
181,AUS,2011,81.8951219512195,22340024.0,3.3199999
182,AUS,2012,82.0463414634146,22733465.0,3.25
183,AUS,2013,82.1487804878049,23128129.0,3.73
184,AUS,2014,82.3,23475686.0,3.8499999
185,AUS,2015,82.4,23815995.0,3.52
186,AUS,2016,82.4487804878049,24190907.0,3.24
187,AUS,2017,82.5,24594202.0,3.46
188,AUS,2018,82.7487804878049,24966643.0,3.24
