,year,life_exp,population,pm
294,1998,49.991,11201063.0,7.2800002
295,1999,50.325,11533554.0,7.25
296,2000,50.847,11882888.0,7.4699998
297,2001,51.071,12249764.0,7.0900002
298,2002,51.272,12632269.0,7.1399999
299,2003,51.793,13030591.0,8.1199999
300,2004,52.416,13445977.0,8.5299997
301,2005,53.092,13876127.0,9.0500002
302,2006,53.742,14316242.0,8.3299999
303,2007,54.375,14757074.0,8.6800003
304,2008,55.342,15197915.0,8.2600002
305,2009,55.959,15650022.0,9.2299995
306,2010,56.477,16116845.0,9.9899998
307,2011,57.125,16602651.0,9.1000004
308,2012,57.619,17113732.0,8.5
309,2013,57.823,17636408.0,8.1099997
310,2014,58.359,18169842.0,9.0
311,2015,58.845,18718019.0,8.4300003
312,2016,59.326,19275498.0,8.0900002
313,2017,59.536,19835858.0,8.4300003
314,2018,60.047,20392723.0,8.5699997
