,year,life_exp,population,pm
357,1998,74.641,672484.0,14.03
358,1999,74.98,692133.0,14.24
359,2000,75.496,711442.0,17.059999
360,2001,75.908,730257.0,13.78
361,2002,76.088,748324.0,14.28
362,2003,76.337,778256.0,13.84
363,2004,76.56,833451.0,13.33
364,2005,76.931,901921.0,14.39
365,2006,77.156,970981.0,16.75
366,2007,77.634,1040532.0,16.450001
367,2008,78.084,1110343.0,18.049999
368,2009,78.461,1179453.0,20.26
369,2010,78.748,1213645.0,21.43
370,2011,78.89,1212077.0,19.040001
371,2012,79.081,1224939.0,21.059999
372,2013,79.246,1261673.0,18.52
373,2014,79.328,1311134.0,18.99
374,2015,79.405,1362142.0,19.530001
375,2016,79.557,1409661.0,18.51
376,2017,79.689,1456834.0,21.610001
377,2018,79.857,1487340.0,20.219999
