year,life_exp,population,pm
1998,71.456,315398.0,6.2399998
1999,71.771,320272.0,5.04
2000,72.041,325014.0,4.5500002
2001,72.11,329626.0,3.9100001
2002,72.232,334002.0,3.8699999
2003,72.402,338490.0,3.8699999
2004,72.478,343089.0,4.0100002
2005,72.765,347804.0,4.4899998
2006,72.855,352664.0,4.4200001
2007,72.678,357666.0,3.8800001
2008,72.667,362795.0,3.04
2009,72.579,368057.0,3.1400001
2010,72.731,373272.0,3.8099999
2011,72.564,377950.0,3.6099999
2012,72.753,382061.0,3.21
2013,73.024,385650.0,2.6700001
2014,73.366,389131.0,2.8399999
2015,73.104,392697.0,2.51
2016,73.537,395976.0,3.03
2017,73.632,399020.0,3.22
2018,73.806,401906.0,3.04
