,year,life_exp,population,pm
399,1998,73.901,4115059.0,27.889999
400,1999,75.076,4153014.0,26.65
401,2000,74.496,4179350.0,25.290001
402,2001,75.06,4194932.0,27.549999
403,2002,74.612,4198410.0,28.450001
404,2003,75.782,4183757.0,29.98
405,2004,76.133,4142860.0,27.82
406,2005,75.42,4094297.0,30.049999
407,2006,76.247,4058086.0,29.4
408,2007,76.161,4007876.0,27.059999
409,2008,76.838,3943392.0,25.98
410,2009,76.976,3877750.0,26.790001
411,2010,77.073,3811088.0,27.52
412,2011,77.007,3743142.0,32.099998
413,2012,77.191,3674374.0,28.879999
414,2013,76.33,3617559.0,25.440001
415,2014,75.659,3571068.0,24.24
416,2015,76.182,3524324.0,28.57
417,2016,76.808,3480986.0,27.83
418,2017,76.935,3440027.0,26.67
419,2018,77.093,3400129.0,25.65
