year,life_exp,population,pm
1998,68.599,224907.0,13.69
1999,68.773,232733.0,10.69
2000,68.564,240406.0,10.26
2001,68.357,248100.0,10.61
2002,68.752,255987.0,10.22
2003,68.909,263998.0,13.17
2004,69.227,272128.0,9.3699999
2005,69.376,280375.0,13.59
2006,70.093,288729.0,10.58
2007,70.655,297173.0,10.41
2008,71.151,305671.0,9.2399998
2009,71.819,314171.0,8.9200001
2010,72.272,322106.0,10.61
2011,72.651,329538.0,11.67
2012,73.245,337059.0,8.3299999
2013,73.666,344688.0,10.36
2014,73.311,352335.0,9.0100002
2015,73.187,359871.0,8.8599997
2016,73.399,367313.0,8.1700001
2017,73.562,374693.0,9.0500002
2018,73.703,382066.0,7.96
