,country,year,life_exp,population,pm
502,BRA,1998,69.189,171039804.0,8.8199997
503,BRA,1999,69.524,173486281.0,8.1199999
504,BRA,2000,69.737,175873720.0,8.6700001
505,BRA,2001,70.195,178211881.0,10.16
506,BRA,2002,70.41,180476685.0,10.95
507,BRA,2003,70.72,182629278.0,11.02
508,BRA,2004,71.131,184722043.0,11.02
509,BRA,2005,71.753,186797334.0,10.83
510,BRA,2006,72.037,188820682.0,10.55
511,BRA,2007,72.365,190779453.0,11.47
512,BRA,2008,72.715,192672317.0,10.89
513,BRA,2009,72.948,194517549.0,10.89
514,BRA,2010,73.182,196353492.0,10.74
515,BRA,2011,73.343,198185302.0,10.41
516,BRA,2012,73.552,199977707.0,10.18
517,BRA,2013,73.918,201721767.0,10.12
518,BRA,2014,74.306,203459650.0,10.15
519,BRA,2015,74.332,205188205.0,11.03
520,BRA,2016,74.442,206859578.0,10.42
521,BRA,2017,74.827,208504960.0,10.13
522,BRA,2018,75.109,210166592.0,10.18
