,year,life_exp,population,pm
607,1998,46.025,3555064.0,28.540001
608,1999,45.75,3655360.0,27.309999
609,2000,45.406,3759170.0,28.219999
610,2001,45.393,3844773.0,23.77
611,2002,45.409,3930648.0,23.75
612,2003,45.76,4026841.0,25.02
613,2004,46.038,4115138.0,25.73
614,2005,46.433,4208834.0,24.620001
615,2006,46.851,4294352.0,22.559999
616,2007,47.426,4375569.0,25.1
617,2008,48.016,4467233.0,25.719999
618,2009,48.648,4564540.0,26.370001
619,2010,49.255,4660067.0,26.26
620,2011,49.948,4732022.0,28.049999
621,2012,50.686,4773306.0,26.200001
622,2013,50.902,4802428.0,27.59
623,2014,50.566,4798734.0,25.58
624,2015,52.793,4819333.0,25.370001
625,2016,53.46,4904177.0,25.93
626,2017,53.721,4996741.0,25.219999
627,2018,54.369,5094780.0,27.33
