year,life_exp,population,pm
1998,51.108,15858990.0,10.9
1999,50.957,16345894.0,9.9099998
2000,50.842,16799670.0,11.56
2001,50.81,17245468.0,12.26
2002,50.886,17683897.0,11.74
2003,50.954,18116451.0,12.75
2004,51.363,18544903.0,12.88
2005,51.824,18970215.0,13.24
2006,52.355,19394057.0,12.51
2007,52.97,19817700.0,12.16
2008,53.653,20244449.0,12.65
2009,54.394,20677762.0,13.15
2010,55.023,21120042.0,12.56
2011,55.52,21562914.0,12.58
2012,56.158,22010712.0,10.63
2013,56.748,22469268.0,10.55
2014,57.208,22995555.0,10.66
2015,57.762,23596741.0,10.99
2016,58.06,24213622.0,10.87
2017,58.48,24848016.0,10.64
2018,58.849,25493988.0,10.79
