,country,year,life_exp,population,pm
859,CUB,1998,75.564,11033758.0,7.5999999
860,CUB,1999,75.893,11070094.0,7.0
861,CUB,2000,76.183,11105791.0,7.0100002
862,CUB,2001,76.421,11139127.0,6.96
863,CUB,2002,76.612,11170051.0,7.1999998
864,CUB,2003,76.773,11199217.0,7.0100002
865,CUB,2004,76.912,11225294.0,6.5500002
866,CUB,2005,77.047,11246114.0,6.8699999
867,CUB,2006,77.179,11260630.0,6.3899999
868,CUB,2007,77.307,11269887.0,5.9299998
869,CUB,2008,77.429,11276609.0,5.0700002
870,CUB,2009,77.548,11283185.0,5.6399999
871,CUB,2010,77.661,11290417.0,6.27
872,CUB,2011,77.76,11298710.0,6.4200001
873,CUB,2012,77.833,11309290.0,5.4699998
874,CUB,2013,77.87,11321579.0,5.5700002
875,CUB,2014,77.853,11332026.0,5.73
876,CUB,2015,77.772,11339894.0,5.5700002
877,CUB,2016,77.643,11342012.0,5.4699998
878,CUB,2017,77.529,11336405.0,5.5900002
879,CUB,2018,77.496,11328244.0,5.4000001
