,country,year,life_exp,population,pm
892,CYP,1998,76.182,914660.0,12.06
893,CYP,1999,76.295,931600.0,12.03
894,CYP,2000,76.568,948237.0,14.51
895,CYP,2001,76.989,964830.0,13.57
896,CYP,2002,77.487,982194.0,11.79
897,CYP,2003,77.788,1000350.0,12.09
898,CYP,2004,77.944,1018684.0,11.49
899,CYP,2005,78.101,1037062.0,12.54
900,CYP,2006,78.371,1055438.0,12.75
901,CYP,2007,78.81,1073873.0,13.07
902,CYP,2008,78.981,1092390.0,12.87
903,CYP,2009,79.401,1110974.0,13.35
904,CYP,2010,79.665,1129686.0,11.5
905,CYP,2011,79.999,1145086.0,16.940001
906,CYP,2012,80.109,1156556.0,18.24
907,CYP,2013,80.402,1166968.0,12.23
908,CYP,2014,80.771,1176995.0,11.99
909,CYP,2015,80.966,1187280.0,12.36
910,CYP,2016,81.056,1197881.0,11.24
911,CYP,2017,81.328,1208523.0,11.76
912,CYP,2018,81.382,1218831.0,10.46
