year,life_exp,population,pm
2004,75.7219512195122,10197101.0,19.280001
2005,75.9243902439025,10211216.0,21.42
2006,76.5243902439024,10238905.0,21.209999
2007,76.7243902439025,10298828.0,15.63
2008,76.9756097560976,10384603.0,15.48
2009,77.0780487804878,10443936.0,17.59
2010,77.4243902439025,10474410.0,20.32
2011,77.8731707317073,10496088.0,18.799999
2012,78.0756097560976,10510785.0,16.68
2013,78.1756097560976,10514272.0,17.65
2014,78.8243902439024,10525347.0,16.780001
2015,78.5780487804878,10546059.0,14.94
2016,79.0268292682927,10566332.0,15.16
2017,78.9780487804878,10594438.0,15.2
2018,79.0292682926829,10629928.0,15.53
