year,life_exp,population,pm
1998,56.176,694920.0,13.52
1999,56.427,719371.0,15.65
2000,56.573,742033.0,16.190001
2001,56.903,765490.0,14.15
2002,57.215,789129.0,15.7
2003,57.595,806411.0,15.81
2004,57.759,818373.0,15.9
2005,58.316,830861.0,16.309999
2006,58.715,846947.0,17.26
2007,59.024,865196.0,18.02
2008,59.365,882886.0,16.389999
2009,59.673,901103.0,17.15
2010,60.259,919199.0,18.77
2011,60.433,936811.0,20.17
2012,60.848,954297.0,18.190001
2013,61.221,971753.0,17.469999
2014,61.641,989087.0,17.549999
2015,61.957,1006259.0,18.450001
2016,62.191,1023261.0,17.620001
2017,62.797,1040233.0,18.969999
2018,63.038,1057198.0,19.52
