,country,year,life_exp,population,pm
998,DOM,1998,69.096,8282126.0,5.8499999
999,DOM,1999,69.279,8411374.0,5.8499999
1000,DOM,2000,69.423,8540791.0,5.5999999
1001,DOM,2001,69.642,8669040.0,7.0799999
1002,DOM,2002,69.923,8795101.0,6.48
1003,DOM,2003,70.265,8919852.0,7.1500001
1004,DOM,2004,70.331,9043127.0,5.79
1005,DOM,2005,70.875,9164768.0,7.79
1006,DOM,2006,71.165,9284168.0,6.9200001
1007,DOM,2007,71.371,9402206.0,6.6900001
1008,DOM,2008,71.658,9522948.0,5.9699998
1009,DOM,2009,71.871,9648061.0,6.1100001
1010,DOM,2010,72.093,9775755.0,7.3899999
1011,DOM,2011,72.221,9903737.0,6.48
1012,DOM,2012,72.514,10030882.0,6.1500001
1013,DOM,2013,72.713,10157051.0,6.23
1014,DOM,2014,72.867,10282115.0,6.8400002
1015,DOM,2015,72.953,10405832.0,6.5999999
1016,DOM,2016,72.987,10527592.0,7.1700001
1017,DOM,2017,73.063,10647244.0,7.4699998
1018,DOM,2018,73.232,10765531.0,7.0700002
