year,life_exp,population,pm
1998,72.045,12199693.0,10.16
1999,72.463,12412046.0,9.7600002
2000,72.839,12626507.0,12.37
2001,73.24,12845521.0,14.58
2002,73.613,13070609.0,14.73
2003,73.975,13301184.0,15.24
2004,74.279,13534593.0,16.09
2005,74.514,13770012.0,17.200001
2006,74.689,14009061.0,16.030001
2007,74.844,14251835.0,16.219999
2008,74.983,14496797.0,16.51
2009,75.184,14742766.0,16.27
2010,75.43,14989585.0,18.030001
2011,75.743,15237728.0,16.280001
2012,76.062,15483883.0,16.440001
2013,76.369,15722989.0,16.34
2014,76.622,15957994.0,16.09
2015,76.789,16195902.0,16.200001
2016,76.763,16439585.0,16.559999
2017,76.972,16696944.0,15.88
2018,77.094,17015672.0,15.63
