,year,life_exp,population,pm
1061,1998,67.471,68446011.0,17.32
1062,1999,67.737,69907887.0,17.99
1063,2000,68.007,71371371.0,20.209999
1064,2001,68.308,72854261.0,17.43
1065,2002,68.564,74393759.0,15.62
1066,2003,68.402,75963322.0,15.49
1067,2004,68.613,77522427.0,15.41
1068,2005,68.779,79075310.0,15.93
1069,2006,68.977,80629670.0,17.68
1070,2007,69.128,82218755.0,17.059999
1071,2008,69.319,83844783.0,16.610001
1072,2009,69.48,85501064.0,16.690001
1073,2010,69.664,87252413.0,15.1
1074,2011,69.88,89200054.0,18.49
1075,2012,70.085,91240376.0,19.940001
1076,2013,70.052,93377890.0,16.200001
1077,2014,70.415,95592324.0,16.440001
1078,2015,70.483,97723799.0,17.9
1079,2016,70.844,99784030.0,17.129999
1080,2017,71.302,101789386.0,18.93
1081,2018,71.367,103740765.0,17.120001
