year,life_exp,population,pm
1998,49.927,63136493.0,6.9899998
1999,49.425,65077579.0,6.8099999
2000,50.538,67031867.0,11.69
2001,51.043,69018932.0,13.84
2002,51.517,71073215.0,13.84
2003,52.533,73168838.0,13.55
2004,53.235,75301026.0,13.43
2005,54.008,77469940.0,14.13
2006,55.149,79691050.0,14.94
2007,56.426,81996185.0,16.459999
2008,57.592,84357105.0,15.13
2009,58.804,86755585.0,15.29
2010,59.73,89237791.0,16.41
2011,60.721,91817929.0,17.4
2012,61.543,94451280.0,15.51
2013,62.373,97084366.0,16.27
2014,62.905,99746766.0,15.98
2015,63.649,102471895.0,17.309999
2016,64.392,105293228.0,16.34
2017,64.838,108197950.0,16.379999
2018,65.412,111129438.0,15.95
