,year,life_exp,population,pm
1187,1998,66.68,813947.0,1.2
1188,1999,66.763,823422.0,1.87
1189,2000,66.31,832509.0,1.85
1190,2001,66.34,841320.0,1.7
1191,2002,65.748,849891.0,1.7
1192,2003,66.177,858306.0,1.63
1193,2004,66.424,866694.0,1.72
1194,2005,66.632,874923.0,1.76
1195,2006,66.855,883083.0,1.65
1196,2007,66.826,890648.0,1.89
1197,2008,66.935,896731.0,2.6800001
1198,2009,67.089,901383.0,1.86
1199,2010,67.328,905169.0,1.88
1200,2011,67.523,908355.0,2.04
1201,2012,67.552,911059.0,1.76
1202,2013,67.428,913453.0,1.83
1203,2014,67.376,915560.0,1.7
1204,2015,66.844,917200.0,1.89
1205,2016,67.24,918371.0,1.76
1206,2017,67.79,919019.0,2.24
1207,2018,67.81,918996.0,2.04
