,year,life_exp,population,pm
1208,1998,78.6048780487805,60192790.0,13.14
1209,1999,78.7560975609756,60504420.0,12.58
1210,2000,79.0560975609756,60921384.0,11.14
1211,2001,79.1585365853659,61367388.0,12.77
1212,2002,79.2609756097561,61816234.0,11.98
1213,2003,79.1146341463415,62256970.0,12.67
1214,2004,80.1634146341463,62716306.0,10.75
1215,2005,80.1634146341463,63188395.0,11.29
1216,2006,80.8121951219512,63628261.0,11.05
1217,2007,81.1121951219512,64021737.0,11.11
1218,2008,81.2146341463415,64379696.0,11.42
1219,2009,81.4146341463415,64710879.0,12.81
1220,2010,81.6634146341463,65030575.0,13.91
1221,2011,82.1146341463415,65345233.0,13.22
1222,2012,81.9682926829268,65662240.0,11.53
1223,2013,82.219512195122,66002289.0,12.43
1224,2014,82.719512195122,66312067.0,9.0600004
1225,2015,82.3219512195122,66548272.0,9.8299999
1226,2016,82.5731707317073,66724104.0,9.3299999
1227,2017,82.5756097560976,66918020.0,8.8299999
1228,2018,82.6756097560976,67158348.0,8.8000002
