,year,life_exp,population,pm
1271,1998,60.79,1209832.0,18.700001
1272,1999,60.849,1240764.0,15.22
1273,2000,61.069,1272935.0,20.82
1274,2001,61.27,1306590.0,22.450001
1275,2002,61.292,1341696.0,19.860001
1276,2003,61.671,1378398.0,20.1
1277,2004,61.838,1417110.0,21.940001
1278,2005,61.959,1458353.0,17.639999
1279,2006,62.375,1502534.0,17.33
1280,2007,62.618,1549774.0,21.82
1281,2008,63.083,1599978.0,24.27
1282,2009,63.303,1653542.0,21.360001
1283,2010,63.898,1711105.0,22.84
1284,2011,64.045,1772500.0,22.83
1285,2012,64.587,1836705.0,21.82
1286,2013,64.776,1902226.0,24.32
1287,2014,64.974,1966855.0,21.48
1288,2015,65.46,2028517.0,23.389999
1289,2016,65.802,2086206.0,23.75
1290,2017,66.189,2140215.0,20.860001
1291,2018,66.306,2192012.0,22.4
