,year,life_exp,population,pm
1376,1998,52.049,7992545.0,15.12
1377,1999,52.356,8174897.0,13.33
1378,2000,52.479,8336967.0,12.34
1379,2001,52.662,8445717.0,10.97
1380,2002,53.278,8577790.0,9.75
1381,2003,53.678,8772254.0,11.32
1382,2004,54.117,8961039.0,11.95
1383,2005,54.632,9140114.0,11.49
1384,2006,55.108,9330625.0,10.95
1385,2007,55.553,9547082.0,10.49
1386,2008,56.044,9779785.0,11.16
1387,2009,56.348,10021323.0,13.24
1388,2010,56.72,10270728.0,12.97
1389,2011,57.019,10527712.0,11.53
1390,2012,57.406,10788692.0,10.61
1391,2013,57.791,11055430.0,11.52
1392,2014,57.886,11333365.0,11.61
1393,2015,58.134,11625998.0,10.49
1394,2016,58.763,11930985.0,10.8
1395,2017,59.109,12240789.0,10.72
1396,2018,59.349,12554864.0,10.41
