year,life_exp,population,pm
1998,72.805,106200.0,1.9
1999,72.903,106823.0,2.51
2000,72.783,107432.0,2.0699999
2001,73.118,107936.0,2.5
2002,73.167,108231.0,1.99
2003,73.188,108740.0,2.1800001
2004,71.788,109516.0,2.05
2005,73.521,110254.0,2.22
2006,73.7,110988.0,2.1199999
2007,74.317,111725.0,2.0599999
2008,74.656,112478.0,2.22
2009,75.036,113249.0,2.25
2010,74.999,114039.0,3.21
2011,75.295,114918.0,2.22
2012,75.042,115912.0,2.28
2013,75.116,116945.0,1.88
2014,74.985,117972.0,1.76
2015,75.013,118980.0,2.03
2016,74.762,119966.0,2.2
2017,74.765,120921.0,2.4200001
2018,74.808,121838.0,1.9
