year,life_exp,population,pm
2004,68.5926829268293,56911.0,1.26
2005,68.4273170731707,56935.0,1.02
2006,68.6665853658537,56774.0,1.02
2007,69.3726829268293,56555.0,1.02
2008,70.0151219512195,56328.0,1.33
2009,70.5319512195122,56323.0,1.05
2010,70.2919512195122,56905.0,1.0599999
2011,69.8541463414634,56890.0,1.09
2012,70.55,56810.0,1.1900001
2013,71.5734146341464,56483.0,1.0700001
2014,71.9856097560976,56295.0,1.26
2015,71.9773170731707,56114.0,0.94999999
2016,71.8251219512195,56186.0,0.85000002
2017,71.579756097561,56171.0,1.0700001
2018,71.8865853658537,56023.0,0.82999998
