,year,life_exp,population,pm
1544,1998,73.632,156357.0,0.5
1545,1999,74.066,158395.0,0.54000002
1546,2000,74.417,160188.0,0.60000002
1547,2001,75.41,161524.0,0.73000002
1548,2002,75.793,162563.0,0.83999997
1549,2003,76.504,163385.0,0.99000001
1550,2004,76.923,164004.0,1.03
1551,2005,77.182,164430.0,0.99000001
1552,2006,77.136,164675.0,1.08
1553,2007,77.098,164763.0,0.92000002
1554,2008,77.185,164725.0,0.82999998
1555,2009,77.094,164580.0,0.92000002
1556,2010,76.879,164905.0,0.77999997
1557,2011,76.872,165649.0,0.88999999
1558,2012,76.707,166392.0,1.15
1559,2013,76.72,167054.0,1.02
1560,2014,76.749,167543.0,1.3099999
1561,2015,76.616,167978.0,1.5700001
1562,2016,76.877,168346.0,0.76999998
1563,2017,77.155,168606.0,0.92000002
1564,2018,77.439,168678.0,0.72000003
