year,life_exp,population,pm
2004,65.75,225938595.0,18.700001
2005,67.649,228805144.0,18.23
2006,67.914,231797427.0,22.309999
2007,68.189,234858289.0,18.5
2008,68.226,237936543.0,17.33
2009,68.494,240981299.0,19.83
2010,68.679,244016173.0,17.93
2011,68.823,247099697.0,19.389999
2012,68.973,250222695.0,19.549999
2013,69.264,253275918.0,18.91
2014,69.533,256229761.0,22.889999
2015,69.699,259091970.0,24.469999
2016,69.798,261850182.0,18.92
2017,69.936,264498852.0,16.32
2018,70.338,267066843.0,18.34
