,year,life_exp,population,pm
1691,1998,74.603,73727.0,6.5700002
1692,1999,73.666,74668.0,5.9000001
1693,2000,74.725,75562.0,5.3800001
1694,2001,75.51,76398.0,6.4000001
1695,2002,75.42,77183.0,6.25
1696,2003,76.096,77939.0,7.8000002
1697,2004,76.966,78677.0,4.7199998
1698,2005,77.623,79415.0,5.3000002
1699,2006,78.191,80228.0,5.6599998
1700,2007,78.331,81100.0,5.8499999
1701,2008,78.449,81997.0,5.3800001
1702,2009,78.681,82915.0,5.4499998
1703,2010,78.983,83828.0,6.2399998
1704,2011,79.19,84350.0,5.9099998
1705,2012,79.337,84338.0,5.1900001
1706,2013,79.473,84144.0,6.5
1707,2014,80.037,83896.0,5.3899999
1708,2015,78.905,83593.0,5.0700002
1709,2016,80.314,83450.0,4.8000002
1710,2017,80.457,83580.0,4.5799999
1711,2018,80.596,83775.0,5.3600001
