year,life_exp,population,pm
2004,64.524,1136264583.0,44.5
2005,64.996,1154638713.0,45.540001
2006,65.412,1172373788.0,47.240002
2007,65.788,1189691809.0,49.040001
2008,66.149,1206734806.0,52.400002
2009,66.513,1223640160.0,52.0
2010,66.909,1240613620.0,52.330002
2011,67.359,1257621191.0,55.959999
2012,67.887,1274487215.0,50.970001
2013,68.46,1291132063.0,53.220001
2014,69.074,1307246509.0,51.700001
2015,69.636,1322866505.0,51.619999
2016,70.117,1338636340.0,55.099998
2017,70.467,1354195680.0,52.889999
2018,70.71,1369003306.0,53.450001
