,country,year,life_exp,population,pm
1775,IRQ,1998,65.486,23053488.0,18.200001
1776,IRQ,1999,66.182,23820734.0,24.75
1777,IRQ,2000,66.817,24628858.0,24.690001
1778,IRQ,2001,67.034,25425663.0,19.92
1779,IRQ,2002,67.084,26255343.0,20.059999
1780,IRQ,2003,65.643,27068823.0,18.030001
1781,IRQ,2004,65.031,27858948.0,17.84
1782,IRQ,2005,64.844,28698684.0,21.309999
1783,IRQ,2006,63.587,28905607.0,20.65
1784,IRQ,2007,63.553,28660887.0,21.1
1785,IRQ,2008,64.942,29218381.0,25.02
1786,IRQ,2009,66.446,30289040.0,27.67
1787,IRQ,2010,67.062,31264875.0,24.98
1788,IRQ,2011,67.659,32378061.0,26.860001
1789,IRQ,2012,68.023,33864447.0,28.65
1790,IRQ,2013,68.253,35481800.0,25.950001
1791,IRQ,2014,68.914,36746488.0,24.469999
1792,IRQ,2015,69.44,37757813.0,24.799999
1793,IRQ,2016,68.988,38697943.0,22.780001
1794,IRQ,2017,70.413,39621162.0,25.110001
1795,IRQ,2018,71.514,40590700.0,26.309999
