year,life_exp,population,pm
2004,80.9975609756098,292074.0,2.6800001
2005,81.5024390243902,296734.0,2.3900001
2006,81.1585365853659,303782.0,2.4000001
2007,81.4536585365854,311566.0,2.28
2008,81.609756097561,317414.0,2.4100001
2009,81.7512195121951,318499.0,2.6300001
2010,81.8975609756097,318041.0,3.1500001
2011,82.3585365853659,319014.0,2.5599999
2012,82.9170731707317,320716.0,2.3800001
2013,82.0609756097561,323764.0,2.75
2014,82.8609756097561,327386.0,2.8800001
2015,82.4682926829268,330815.0,2.3499999
2016,82.2048780487805,335439.0,2.47
2017,82.6609756097561,343400.0,2.6500001
2018,82.8609756097561,352721.0,2.1300001
