year,life_exp,population,pm
2004,80.1463414634146,6809000.0,10.14
2005,80.1512195121951,6930100.0,10.43
2006,80.5536585365854,7053700.0,11.18
2007,80.5048780487805,7180100.0,11.22
2008,80.9512195121951,7308800.0,10.74
2009,81.4048780487805,7485600.0,11.32
2010,81.6024390243903,7623600.0,10.98
2011,81.6560975609756,7765800.0,12.18
2012,81.7048780487805,7910500.0,13.24
2013,82.0560975609756,8059500.0,11.39
2014,82.1536585365854,8215700.0,10.39
2015,82.0512195121951,8380100.0,12.81
2016,82.4073170731707,8546000.0,10.6
2017,82.5512195121951,8713300.0,12.15
2018,82.8024390243903,8882800.0,11.84
