year,life_exp,population,pm
1998,78.9756097560976,56906744.0,17.620001
1999,79.4243902439024,56916317.0,16.620001
2000,79.7780487804878,56942108.0,17.690001
2001,80.1268292682927,56974100.0,17.0
2002,80.2292682926829,57059007.0,18.25
2003,79.9829268292683,57313203.0,18.74
2004,80.7804878048781,57685327.0,15.97
2005,80.7829268292683,57969484.0,17.74
2006,81.2829268292683,58143979.0,18.690001
2007,81.4341463414634,58438310.0,17.540001
2008,81.4853658536585,58826731.0,15.28
2009,81.6365853658537,59095365.0,15.33
2010,82.0365853658537,59277417.0,15.15
2011,82.1878048780488,59379449.0,17.860001
2012,82.2390243902439,59539717.0,15.66
2013,82.690243902439,60233948.0,14.75
2014,83.090243902439,60789140.0,11.66
2015,82.5439024390244,60730582.0,15.44
2016,83.2439024390244,60627498.0,12.82
2017,82.9463414634147,60536709.0,14.73
2018,83.3463414634146,60421760.0,12.11
