year,life_exp,population,pm
2004,82.030243902439,127761000.0,12.2
2005,81.9251219512195,127773000.0,13.1
2006,82.3219512195122,127854000.0,13.67
2007,82.5070731707317,128001000.0,12.82
2008,82.5875609756098,128063000.0,14.04
2009,82.9314634146342,128047000.0,12.38
2010,82.8426829268293,128070000.0,11.03
2011,82.5912195121951,127833000.0,11.3
2012,83.0960975609756,127629000.0,12.18
2013,83.3319512195122,127445000.0,11.39
2014,83.5878048780488,127276000.0,12.39
2015,83.7939024390244,127141000.0,11.77
2016,83.9848780487805,127076000.0,11.14
2017,84.099756097561,126972000.0,11.06
2018,84.2109756097561,126811000.0,10.94
