,country,year,life_exp,population,pm
1922,KAZ,1998,64.5,15071640.0,12.44
1923,KAZ,1999,65.63,14928374.0,11.63
1924,KAZ,2000,65.45,14883626.0,11.46
1925,KAZ,2001,65.76,14858335.0,11.39
1926,KAZ,2002,65.95,14858948.0,12.37
1927,KAZ,2003,65.74,14909019.0,12.37
1928,KAZ,2004,66.06,15012984.0,12.25
1929,KAZ,2005,65.86,15147029.0,13.35
1930,KAZ,2006,66.15,15308085.0,12.18
1931,KAZ,2007,66.34,15484192.0,13.68
1932,KAZ,2008,67.11,15776938.0,15.28
1933,KAZ,2009,68.39,16092822.0,14.98
1934,KAZ,2010,68.45,16321872.0,13.97
1935,KAZ,2011,68.69,16557202.0,14.87
1936,KAZ,2012,69.52,16792090.0,16.75
1937,KAZ,2013,70.62,17035551.0,13.44
1938,KAZ,2014,71.44,17288285.0,13.92
1939,KAZ,2015,71.97,17542806.0,13.38
1940,KAZ,2016,72.41,17794055.0,13.96
1941,KAZ,2017,72.95,18037776.0,14.76
1942,KAZ,2018,73.15,18276452.0,13.51
