,year,life_exp,population,pm
1943,1998,54.526,29137373.0,10.47
1944,1999,54.495,29965129.0,8.8599997
1945,2000,54.411,30851606.0,12.4
1946,2001,54.508,31800343.0,17.77
1947,2002,54.99,32779823.0,14.42
1948,2003,55.601,33767122.0,14.83
1949,2004,56.361,34791836.0,14.92
1950,2005,57.344,35843010.0,14.6
1951,2006,58.222,36925253.0,15.64
1952,2007,58.865,38036793.0,17.9
1953,2008,59.614,39186895.0,15.43
1954,2009,60.365,40364444.0,15.18
1955,2010,60.649,41517895.0,17.120001
1956,2011,61.046,42635144.0,17.110001
1957,2012,61.115,43725806.0,16.99
1958,2013,61.389,44792368.0,17.43
1959,2014,61.816,45831863.0,15.46
1960,2015,61.892,46851488.0,15.99
1961,2016,62.163,47894670.0,16.040001
1962,2017,62.481,48948137.0,13.96
1963,2018,62.676,49953304.0,15.89
