,country,year,life_exp,population,pm
1964,KGZ,1998,67.0512195121951,4769000.0,13.27
1965,KGZ,1999,68.6560975609756,4840400.0,11.19
1966,KGZ,2000,68.5585365853659,4898400.0,14.03
1967,KGZ,2001,68.7073170731707,4945100.0,13.66
1968,KGZ,2002,68.1560975609756,4990700.0,14.75
1969,KGZ,2003,68.2560975609756,5043300.0,13.59
1970,KGZ,2004,68.1536585365854,5104700.0,14.09
1971,KGZ,2005,67.9560975609756,5162600.0,15.33
1972,KGZ,2006,67.6951219512195,5218400.0,15.12
1973,KGZ,2007,67.8951219512195,5268400.0,16.15
1974,KGZ,2008,68.4512195121951,5318700.0,15.04
1975,KGZ,2009,69.1024390243903,5383300.0,17.049999
1976,KGZ,2010,69.3,5447900.0,13.91
1977,KGZ,2011,69.6024390243903,5514600.0,17.24
1978,KGZ,2012,70.0024390243902,5607200.0,18.790001
1979,KGZ,2013,70.2024390243902,5719600.0,15.92
1980,KGZ,2014,70.4024390243902,5835500.0,14.82
1981,KGZ,2015,70.6512195121951,5956900.0,15.22
1982,KGZ,2016,70.9512195121951,6079500.0,15.56
1983,KGZ,2017,71.2,6198200.0,15.89
1984,KGZ,2018,71.4,6322800.0,14.68
