,country,year,life_exp,population,pm
1985,KHM,1998,57.028,11669077.0,13.3
1986,KHM,1999,57.69,11899006.0,12.89
1987,KHM,2000,58.625,12118841.0,15.47
1988,KHM,2001,59.966,12338192.0,15.64
1989,KHM,2002,61.226,12561779.0,15.56
1990,KHM,2003,62.523,12787710.0,17.440001
1991,KHM,2004,63.552,13016371.0,19.18
1992,KHM,2005,64.293,13246583.0,18.92
1993,KHM,2006,65.059,13477779.0,17.49
1994,KHM,2007,65.731,13714791.0,19.780001
1995,KHM,2008,66.47,13943888.0,18.889999
1996,KHM,2009,67.444,14155740.0,16.469999
1997,KHM,2010,67.712,14363532.0,17.940001
1998,KHM,2011,68.416,14573885.0,17.559999
1999,KHM,2012,68.915,14786640.0,15.2
2000,KHM,2013,69.304,14999683.0,18.950001
2001,KHM,2014,69.736,15210817.0,16.809999
2002,KHM,2015,69.873,15417523.0,15.82
2003,KHM,2016,70.224,15624584.0,15.77
2004,KHM,2017,70.515,15830689.0,15.6
2005,KHM,2018,70.561,16025238.0,17.83
