,year,life_exp,population,pm
2028,1998,75.0048780487805,46286503.0,18.42
2029,1999,75.409756097561,46616677.0,18.879999
2030,2000,75.909756097561,47008111.0,22.139999
2031,2001,76.4121951219512,47370164.0,21.049999
2032,2002,76.7658536585366,47644736.0,19.16
2033,2003,77.2146341463415,47892330.0,26.200001
2034,2004,77.6658536585366,48082519.0,21.610001
2035,2005,78.1682926829268,48184561.0,22.309999
2036,2006,78.6682926829268,48438292.0,23.780001
2037,2007,79.119512195122,48683638.0,23.889999
2038,2008,79.5170731707317,49054708.0,23.790001
2039,2009,79.9682926829268,49307835.0,22.860001
2040,2010,80.1170731707317,49554112.0,21.059999
2041,2011,80.5682926829269,49936638.0,21.67
2042,2012,80.819512195122,50199853.0,21.99
2043,2013,81.2707317073171,50428893.0,23.290001
2044,2014,81.7219512195122,50746659.0,23.809999
2045,2015,82.0243902439024,51014947.0,22.93
2046,2016,82.2756097560976,51217803.0,22.450001
2047,2017,82.6268292682927,51361911.0,20.700001
2048,2018,82.6268292682927,51585058.0,20.559999
