,year,life_exp,population,pm
2070,1998,57.665,5246922.0,24.84
2071,1999,57.873,5340056.0,21.08
2072,2000,58.378,5430853.0,21.809999
2073,2001,59.07,5519707.0,23.530001
2074,2002,59.534,5606101.0,23.139999
2075,2003,60.031,5689065.0,23.08
2076,2004,60.293,5768167.0,29.42
2077,2005,60.98,5852970.0,28.959999
2078,2006,61.493,5946593.0,27.4
2079,2007,62.084,6041348.0,31.16
2080,2008,62.603,6135861.0,27.629999
2081,2009,63.273,6229930.0,26.389999
2082,2010,63.973,6323418.0,30.360001
2083,2011,64.736,6416327.0,27.74
2084,2012,65.355,6508803.0,25.809999
2085,2013,65.718,6600742.0,28.23
2086,2014,66.361,6691454.0,28.790001
2087,2015,66.67,6787419.0,25.65
2088,2016,67.167,6891363.0,28.370001
2089,2017,67.434,6997917.0,25.950001
2090,2018,67.634,7105006.0,23.83
