year,life_exp,population,pm
1998,48.901,2639224.0,13.85
1999,49.953,2789743.0,12.19
2000,51.356,2895224.0,11.42
2001,52.752,2981648.0,11.69
2002,53.788,3060599.0,11.18
2003,53.042,3085173.0,12.32
2004,56.013,3122447.0,11.73
2005,56.912,3266318.0,12.56
2006,57.62,3455397.0,11.82
2007,58.285,3632740.0,11.15
2008,58.772,3783887.0,12.26
2009,59.194,3905066.0,14.48
2010,59.433,4019956.0,12.77
2011,59.62,4181150.0,12.32
2012,59.913,4331740.0,10.45
2013,59.943,4427313.0,11.73
2014,59.121,4519398.0,11.36
2015,59.148,4612329.0,11.52
2016,60.416,4706097.0,11.51
2017,60.553,4796631.0,10.91
2018,60.853,4889391.0,10.65
