,country,year,life_exp,population,pm
2133,LBY,1998,71.079,4980962.0,8.3500004
2134,LBY,1999,71.058,5057998.0,7.5599999
2135,LBY,2000,70.68,5154790.0,8.75
2136,LBY,2001,70.861,5275916.0,6.98
2137,LBY,2002,71.004,5405326.0,6.8099999
2138,LBY,2003,71.132,5542641.0,8.6899996
2139,LBY,2004,71.49,5687563.0,6.4899998
2140,LBY,2005,71.592,5837986.0,7.4000001
2141,LBY,2006,71.724,5973369.0,7.6599998
2142,LBY,2007,71.863,6097177.0,7.1700001
2143,LBY,2008,72.269,6228370.0,6.79
2144,LBY,2009,72.356,6360191.0,7.0300002
2145,LBY,2010,72.374,6491988.0,5.9099998
2146,LBY,2011,70.071,6188132.0,7.7399998
2147,LBY,2012,72.247,5869870.0,7.46
2148,LBY,2013,72.34,5985221.0,7.4400001
2149,LBY,2014,71.511,6097764.0,5.6300001
2150,LBY,2015,71.698,6192235.0,7.7199998
2151,LBY,2016,71.756,6282196.0,6.1599998
2152,LBY,2017,72.482,6378261.0,7.0999999
2153,LBY,2018,72.794,6477793.0,6.1799998
