year,life_exp,population,pm
1998,70.69,156855.0,1.99
1999,70.709,158256.0,2.6099999
2000,70.768,159500.0,2.0999999
2001,71.135,160594.0,2.4200001
2002,71.472,161799.0,1.87
2003,71.771,163047.0,2.0999999
2004,72.028,164239.0,1.97
2005,72.245,165386.0,2.3599999
2006,72.465,166470.0,2.0799999
2007,72.599,167518.0,2.0
2008,72.698,168576.0,2.0699999
2009,72.722,169688.0,2.25
2010,72.72,170935.0,2.8800001
2011,72.944,172145.0,2.1500001
2012,72.882,173124.0,2.1500001
2013,72.735,173978.0,1.83
2014,72.864,174804.0,1.65
2015,73.138,175623.0,1.86
2016,73.112,176413.0,2.1300001
2017,73.127,177163.0,2.1500001
2018,73.357,177888.0,1.76
