year,life_exp,population,pm
2004,81.7707317073171,34300.0,12.86
2005,80.6682926829268,34603.0,14.72
2006,80.9487804878049,34889.0,14.15
2007,81.2951219512195,35150.0,12.1
2008,82.6829268292683,35401.0,11.61
2009,81.5,35675.0,13.01
2010,81.8414634146342,35926.0,13.66
2011,81.7926829268293,36189.0,12.99
2012,82.3829268292683,36505.0,11.06
2013,82.2609756097561,36806.0,12.3
2014,82.0731707317073,37096.0,9.29
2015,82.6560975609756,37355.0,10.64
2016,82.2585365853659,37609.0,9.75
2017,83.7463414634147,37889.0,9.8900003
2018,83.0414634146342,38181.0,9.9200001
