,year,life_exp,population,pm
2196,1998,72.081,18564595.0,11.32
2197,1999,72.618,18663293.0,12.69
2198,2000,70.355,18777606.0,14.97
2199,2001,70.787,18911727.0,17.219999
2200,2002,71.117,19062476.0,16.91
2201,2003,71.373,19224036.0,18.58
2202,2004,67.091,19387153.0,17.299999
2203,2005,72.118,19544988.0,19.459999
2204,2006,71.969,19695977.0,18.629999
2205,2007,72.049,19842044.0,19.49
2206,2008,71.729,19983984.0,19.76
2207,2009,69.187,20123508.0,20.26
2208,2010,73.215,20261738.0,21.370001
2209,2011,73.38,20398496.0,22.370001
2210,2012,73.906,20425000.0,20.790001
2211,2013,74.239,20585000.0,21.85
2212,2014,74.651,20778000.0,20.77
2213,2015,74.927,20970000.0,20.219999
2214,2016,75.331,21203000.0,19.370001
2215,2017,75.403,21444000.0,18.92
2216,2018,75.748,21670000.0,20.139999
