year,life_exp,population,pm
1998,71.219512195122,3549331.0,16.690001
1999,71.5707317073171,3524238.0,15.84
2000,72.0195121951219,3499536.0,13.96
2001,71.6585365853659,3470818.0,13.99
2002,71.7609756097561,3443067.0,15.69
2003,72.0609756097561,3415213.0,14.61
2004,71.9609756097561,3377075.0,13.54
2005,71.2536585365854,3322528.0,13.3
2006,71.0560975609756,3269909.0,14.59
2007,70.9,3231294.0,13.89
2008,71.8121951219512,3198231.0,15.71
2009,72.9146341463415,3162916.0,15.33
2010,73.2682926829268,3097282.0,17.25
2011,73.5634146341464,3028115.0,14.21
2012,73.8634146341464,2987773.0,14.26
2013,73.9146341463415,2957689.0,14.02
2014,74.5170731707317,2932367.0,14.28
2015,74.3219512195122,2904910.0,12.47
2016,74.6707317073171,2868231.0,10.96
2017,75.4804878048781,2828403.0,11.16
2018,75.6804878048781,2801543.0,12.88
