year,life_exp,population,pm
2004,79.1219512195122,458095.0,12.92
2005,79.4317073170732,465158.0,12.48
2006,79.2878048780488,472637.0,12.51
2007,79.3829268292683,479993.0,12.06
2008,80.5390243902439,488650.0,12.73
2009,80.6365853658537,497783.0,13.98
2010,80.6317073170732,506953.0,14.14
2011,80.9878048780488,518347.0,13.49
2012,81.3926829268293,530946.0,11.81
2013,81.8,543360.0,13.35
2014,82.2292682926829,556319.0,10.55
2015,82.2926829268293,569604.0,10.65
2016,82.6853658536585,582014.0,10.11
2017,82.0951219512195,596336.0,9.6199999
2018,82.2951219512195,607950.0,9.6499996
