year,life_exp,population,pm
1998,76.326,29102.0,2.0799999
1999,76.502,29099.0,2.6800001
2000,76.663,29610.0,2.29
2001,76.847,30387.0,2.49
2002,77.031,31160.0,1.89
2003,77.206,31929.0,2.0699999
2004,77.384,32697.0,1.89
2005,77.555,33452.0,2.6700001
2006,77.726,34183.0,2.3800001
2007,77.892,34887.0,2.0899999
2008,78.068,35541.0,1.88
2009,78.236,36132.0,1.97
2010,78.406,36458.0,3.0799999
2011,78.827,36350.0,1.98
2012,79.022,36026.0,2.47
2013,78.908,35639.0,1.6900001
2014,79.966,35261.0,1.76
2015,79.309,35020.0,1.97
2016,79.475,34811.0,2.1600001
2017,78.59,34496.0,1.97
2018,80.614,33852.0,1.67
