,country,year,life_exp,population,pm
2364,MDG,1998,56.917,15250934.0,5.2399998
2365,MDG,1999,57.372,15730885.0,4.6599998
2366,MDG,2000,57.938,16216431.0,6.0900002
2367,MDG,2001,58.57,16709665.0,10.84
2368,MDG,2002,58.892,17211934.0,7.5999999
2369,MDG,2003,59.491,17724310.0,8.29
2370,MDG,2004,60.149,18250774.0,7.6300001
2371,MDG,2005,60.57,18792171.0,9.2200003
2372,MDG,2006,61.315,19350299.0,8.3900003
2373,MDG,2007,61.757,19924958.0,9.9799995
2374,MDG,2008,62.142,20513599.0,8.4700003
2375,MDG,2009,62.734,21117092.0,9.1499996
2376,MDG,2010,62.873,21731053.0,10.14
2377,MDG,2011,63.494,22348158.0,9.6099997
2378,MDG,2012,63.544,22966240.0,8.7299995
2379,MDG,2013,63.962,23588073.0,9.4799995
2380,MDG,2014,64.255,24215976.0,8.5900002
2381,MDG,2015,64.339,24850912.0,9.5600004
2382,MDG,2016,64.997,25501941.0,9.2399998
2383,MDG,2017,65.094,26169542.0,8.7399998
2384,MDG,2018,65.27,26846541.0,8.5699997
