,country,year,life_exp,population,pm
2429,MKD,1998,72.2975609756098,2007523.0,27.07
2430,MKD,1999,72.790243902439,2017142.0,25.120001
2431,MKD,2000,72.9463414634147,2026350.0,28.35
2432,MKD,2001,73.4365853658537,2034882.0,27.799999
2433,MKD,2002,73.0390243902439,2020157.0,30.41
2434,MKD,2003,73.2414634146342,2026773.0,32.360001
2435,MKD,2004,73.5975609756098,2032544.0,27.190001
2436,MKD,2005,73.6975609756098,2036855.0,29.549999
2437,MKD,2006,73.8951219512195,2040228.0,31.16
2438,MKD,2007,73.8,2043559.0,30.27
2439,MKD,2008,74.4,2046898.0,27.24
2440,MKD,2009,74.4463414634146,2050671.0,25.77
2441,MKD,2010,74.9975609756098,2055004.0,21.77
2442,MKD,2011,75.1,2058539.0,33.900002
2443,MKD,2012,74.9024390243903,2061044.0,29.66
2444,MKD,2013,75.4,2064032.0,25.76
2445,MKD,2014,75.4512195121951,2067471.0,25.209999
2446,MKD,2015,75.4024390243902,2070226.0,27.57
2447,MKD,2016,75.4,2072490.0,24.82
2448,MKD,2017,75.9536585365854,2074502.0,24.93
2449,MKD,2018,76.6487804878049,2076217.0,24.91
