,year,life_exp,population,pm
2471,1998,77.5878048780488,385287.0,8.29
2472,1999,77.5,387578.0,7.9000001
2473,2000,78.3487804878049,390087.0,8.3400002
2474,2001,78.8439024390244,393028.0,7.5999999
2475,2002,78.7390243902439,395969.0,7.7399998
2476,2003,78.5463414634146,398582.0,10.27
2477,2004,79.2536585365854,401268.0,7.1999998
2478,2005,79.3,403834.0,8.0500002
2479,2006,79.4390243902439,405308.0,8.6700001
2480,2007,79.7926829268293,406724.0,8.1300001
2481,2008,79.6365853658537,409379.0,7.9000001
2482,2009,80.2414634146342,412477.0,7.4499998
2483,2010,81.3975609756098,414508.0,5.8699999
2484,2011,80.7463414634146,416268.0,8.8000002
2485,2012,80.7463414634146,420028.0,7.6599998
2486,2013,81.7463414634146,425967.0,7.79
2487,2014,82.0463414634146,434558.0,6.1500001
2488,2015,81.8975609756097,445053.0,8.6800003
2489,2016,82.4536585365854,455356.0,5.7199998
2490,2017,82.3463414634146,467999.0,6.9699998
2491,2018,82.4487804878049,484630.0,6.1199999
