,country,year,life_exp,population,pm
2492,MMR,1998,59.794,44516185.0,25.700001
2493,MMR,1999,59.881,45041636.0,26.139999
2494,MMR,2000,60.155,45538332.0,23.34
2495,MMR,2001,60.416,46014826.0,25.43
2496,MMR,2002,60.725,46480230.0,26.32
2497,MMR,2003,60.98,46924293.0,26.719999
2498,MMR,2004,61.25,47338446.0,30.35
2499,MMR,2005,61.599,47724471.0,29.42
2500,MMR,2006,61.893,48088274.0,29.690001
2501,MMR,2007,62.371,48445647.0,32.52
2502,MMR,2008,56.506,48729486.0,29.639999
2503,MMR,2009,63.155,49015836.0,33.700001
2504,MMR,2010,63.329,49390988.0,32.209999
2505,MMR,2011,63.901,49794522.0,29.690001
2506,MMR,2012,64.141,50218185.0,29.73
2507,MMR,2013,64.815,50648334.0,32.009998
2508,MMR,2014,65.056,51072436.0,32.470001
2509,MMR,2015,65.561,51483949.0,29.959999
2510,MMR,2016,65.685,51892349.0,31.27
2511,MMR,2017,65.843,52288341.0,28.82
2512,MMR,2018,66.465,52666014.0,30.360001
