,year,life_exp,population,pm
2513,1998,73.3142195121951,607662.0,17.549999
2514,1999,72.640756097561,606001.0,16.24
2515,2000,73.8184878048781,604950.0,16.639999
2516,2001,74.0694146341464,607389.0,17.059999
2517,2002,73.9064878048781,609828.0,18.01
2518,2003,73.9317317073171,612267.0,20.299999
2519,2004,74.5639512195122,613353.0,16.5
2520,2005,73.9829268292683,614261.0,17.959999
2521,2006,73.8390243902439,615025.0,19.58
2522,2007,74.3390243902439,615875.0,18.790001
2523,2008,75.1365853658537,616969.0,15.73
2524,2009,75.1439024390244,618294.0,15.7
2525,2010,75.990243902439,619428.0,14.04
2526,2011,75.9829268292683,620079.0,21.58
2527,2012,76.2,620601.0,19.360001
2528,2013,76.490243902439,621207.0,16.91
2529,2014,76.4414634146341,621810.0,14.62
2530,2015,76.4487804878049,622159.0,18.209999
2531,2016,76.4414634146341,622303.0,16.030001
2532,2017,76.4853658536585,622373.0,16.76
2533,2018,76.8414634146342,622227.0,16.52
