,year,life_exp,population,pm
2555,1998,48.024,16923195.0,14.41
2556,1999,48.812,17337893.0,11.77
2557,2000,49.491,17768505.0,11.59
2558,2001,50.065,18220716.0,16.42
2559,2002,50.59,18694946.0,13.45
2560,2003,50.87,19186754.0,14.57
2561,2004,51.249,19694411.0,13.35
2562,2005,51.561,20211114.0,14.97
2563,2006,51.961,20735982.0,14.08
2564,2007,52.566,21280513.0,16.559999
2565,2008,53.164,21845571.0,15.05
2566,2009,53.788,22436660.0,13.7
2567,2010,54.198,23073723.0,15.2
2568,2011,54.869,23760421.0,13.0
2569,2012,55.639,24487611.0,14.32
2570,2013,56.492,25251731.0,14.09
2571,2014,57.274,26038704.0,12.57
2572,2015,58.151,26843246.0,14.01
2573,2016,59.038,27696493.0,12.42
2574,2017,59.771,28569441.0,11.67
2575,2018,60.526,29423878.0,13.86
