,year,life_exp,population,pm
2576,1998,60.609,2550501.0,3.3199999
2577,1999,60.819,2620611.0,3.5699999
2578,2000,61.028,2695003.0,3.28
2579,2001,61.185,2761823.0,2.8800001
2580,2002,61.268,2821703.0,2.8199999
2581,2003,61.347,2883326.0,3.5899999
2582,2004,61.593,2946575.0,3.1500001
2583,2005,61.656,3012360.0,3.1900001
2584,2006,61.891,3081229.0,3.29
2585,2007,62.228,3153508.0,3.0699999
2586,2008,62.399,3233336.0,3.1099999
2587,2009,62.8,3322616.0,3.3399999
2588,2010,63.105,3419461.0,3.5999999
2589,2011,63.346,3524249.0,3.3299999
2590,2012,63.578,3636113.0,3.6400001
2591,2013,63.911,3742959.0,3.1199999
2592,2014,64.155,3843174.0,3.29
2593,2015,64.485,3946220.0,3.21
2594,2016,64.768,4051890.0,3.1600001
2595,2017,65.083,4160015.0,3.3499999
2596,2018,65.31,4270712.0,3.0
