,country,year,life_exp,population,pm
2597,MUS,1998,70.6073170731707,1160421.0,3.47
2598,MUS,1999,70.9609756097561,1175267.0,3.54
2599,MUS,2000,71.6634146341463,1186873.0,3.1500001
2600,MUS,2001,71.7658536585366,1196287.0,3.46
2601,MUS,2002,71.9658536585366,1204621.0,3.3299999
2602,MUS,2003,72.1170731707317,1213370.0,3.4000001
2603,MUS,2004,72.2658536585366,1221003.0,3.75
2604,MUS,2005,72.4321951219512,1228254.0,4.8299999
2605,MUS,2006,72.4321951219512,1233996.0,3.6700001
2606,MUS,2007,72.5707317073171,1239630.0,3.9100001
2607,MUS,2008,72.5707317073171,1244121.0,3.73
2608,MUS,2009,72.8824390243903,1247429.0,3.75
2609,MUS,2010,72.9673170731707,1250400.0,4.3099999
2610,MUS,2011,73.2668292682927,1252404.0,4.4200001
2611,MUS,2012,73.8634146341464,1255882.0,3.9400001
2612,MUS,2013,74.0170731707317,1258653.0,4.1500001
2613,MUS,2014,74.1943902439024,1260934.0,3.9100001
2614,MUS,2015,74.3531707317073,1262605.0,3.8599999
2615,MUS,2016,74.3948780487805,1263473.0,4.1900001
2616,MUS,2017,74.5146341463415,1264613.0,4.1900001
2617,MUS,2018,74.4163414634146,1265303.0,4.52
