year,life_exp,population,pm
1998,42.848,10732456.0,15.04
1999,43.568,10973956.0,12.83
2000,44.518,11229387.0,13.72
2001,45.895,11498818.0,21.440001
2002,47.221,11784498.0,19.139999
2003,48.79,12087965.0,19.610001
2004,50.453,12411342.0,18.0
2005,52.044,12755648.0,19.219999
2006,53.238,13118307.0,18.23
2007,53.946,13495463.0,22.66
2008,54.604,13889423.0,20.48
2009,55.448,14298932.0,18.709999
2010,56.381,14718422.0,19.959999
2011,57.455,15146094.0,18.6
2012,58.679,15581251.0,19.040001
2013,59.729,16024775.0,19.1
2014,60.899,16477966.0,17.799999
2015,61.378,16938942.0,18.780001
2016,62.209,17405624.0,16.68
2017,62.977,17881167.0,15.98
2018,63.276,18367883.0,17.690001
