,year,life_exp,population,pm
2639,1998,72.168,21810542.0,11.99
2640,1999,72.283,22368655.0,11.0
2641,2000,72.775,22945150.0,13.66
2642,2001,73.344,23542517.0,12.69
2643,2002,73.563,24142445.0,16.030001
2644,2003,73.796,24739411.0,13.93
2645,2004,73.898,25333247.0,16.43
2646,2005,74.096,25923536.0,16.07
2647,2006,74.164,26509413.0,20.639999
2648,2007,74.211,27092604.0,14.38
2649,2008,74.25,27664296.0,13.78
2650,2009,74.227,28217204.0,18.059999
2651,2010,74.442,28717731.0,13.27
2652,2011,74.746,29184133.0,16.360001
2653,2012,74.944,29660212.0,16.559999
2654,2013,75.035,30134807.0,17.459999
2655,2014,75.146,30606459.0,18.59
2656,2015,75.094,31068833.0,22.59
2657,2016,75.289,31526418.0,14.27
2658,2017,75.476,31975806.0,12.99
2659,2018,75.644,32399271.0,14.0
