,country,year,life_exp,population,pm
2702,NER,1998,48.191,10854920.0,8.6700001
2703,NER,1999,48.738,11231469.0,8.1000004
2704,NER,2000,49.322,11622665.0,7.6900001
2705,NER,2001,49.841,12031430.0,7.54
2706,NER,2002,50.562,12456517.0,8.0
2707,NER,2003,51.434,12900790.0,9.1000004
2708,NER,2004,52.589,13366885.0,9.1300001
2709,NER,2005,53.59,13855221.0,9.1300001
2710,NER,2006,54.596,14365168.0,9.6199999
2711,NER,2007,55.553,14897873.0,9.8100004
2712,NER,2008,56.508,15455175.0,10.02
2713,NER,2009,57.396,16037915.0,10.46
2714,NER,2010,58.367,16647543.0,11.28
2715,NER,2011,58.994,17283112.0,10.03
2716,NER,2012,59.65,17954407.0,11.11
2717,NER,2013,60.239,18653199.0,8.9399996
2718,NER,2014,60.786,19372014.0,9.8000002
2719,NER,2015,61.083,20128124.0,10.07
2720,NER,2016,61.629,20921743.0,9.9899998
2721,NER,2017,62.16,21737922.0,10.61
2722,NER,2018,62.454,22577058.0,10.96
